document_id,parent_document_id,document_type,split,variant_profile,image_path,annotation_path,rotation_degrees,blur_radius,noise_sigma,jpeg_quality
w2_2026_000001_scan_mild_01,w2_2026_000001,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000001_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000001_scan_mild_01.json,-1.1536,0.4981,4.0149,75
w2_2026_000001_scan_hard_02,w2_2026_000001,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000001_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000001_scan_hard_02.json,-0.4573,1.0294,6.1258,48
w2_2026_000002_scan_mild_01,w2_2026_000002,w2,validation,mild,data\processed\irs_scan_variants\w2\validation\w2_2026_000002_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000002_scan_mild_01.json,-1.0389,0.3114,3.506,85
w2_2026_000002_scan_hard_02,w2_2026_000002,w2,validation,hard,data\processed\irs_scan_variants\w2\validation\w2_2026_000002_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000002_scan_hard_02.json,-1.5025,0.9824,5.0602,67
w2_2026_000003_scan_mild_01,w2_2026_000003,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000003_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000003_scan_mild_01.json,-1.131,0.3748,3.7868,89
w2_2026_000003_scan_hard_02,w2_2026_000003,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000003_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000003_scan_hard_02.json,0.9678,1.3259,6.6735,55
w2_2026_000004_scan_mild_01,w2_2026_000004,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000004_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000004_scan_mild_01.json,-1.0465,0.5138,4.0389,76
w2_2026_000004_scan_hard_02,w2_2026_000004,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000004_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000004_scan_hard_02.json,0.55,1.0481,7.1401,59
w2_2026_000005_scan_mild_01,w2_2026_000005,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000005_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000005_scan_mild_01.json,-0.7102,0.4334,4.2959,79
w2_2026_000005_scan_hard_02,w2_2026_000005,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000005_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000005_scan_hard_02.json,-0.8671,1.002,8.5367,68
w2_2026_000006_scan_mild_01,w2_2026_000006,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000006_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000006_scan_mild_01.json,0.921,0.5229,2.634,85
w2_2026_000006_scan_hard_02,w2_2026_000006,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000006_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000006_scan_hard_02.json,0.1628,0.7536,8.6203,70
w2_2026_000007_scan_mild_01,w2_2026_000007,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000007_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000007_scan_mild_01.json,-0.4166,0.5563,4.5459,89
w2_2026_000007_scan_hard_02,w2_2026_000007,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000007_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000007_scan_hard_02.json,-1.2387,0.7829,6.5115,58
w2_2026_000008_scan_mild_01,w2_2026_000008,w2,test,mild,data\processed\irs_scan_variants\w2\test\w2_2026_000008_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000008_scan_mild_01.json,-0.6165,0.1642,2.9343,76
w2_2026_000008_scan_hard_02,w2_2026_000008,w2,test,hard,data\processed\irs_scan_variants\w2\test\w2_2026_000008_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000008_scan_hard_02.json,0.819,0.9128,9.0986,54
w2_2026_000009_scan_mild_01,w2_2026_000009,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000009_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000009_scan_mild_01.json,0.8709,0.38,2.2901,89
w2_2026_000009_scan_hard_02,w2_2026_000009,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000009_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000009_scan_hard_02.json,-0.655,0.6691,8.8462,61
w2_2026_000010_scan_mild_01,w2_2026_000010,w2,validation,mild,data\processed\irs_scan_variants\w2\validation\w2_2026_000010_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000010_scan_mild_01.json,0.2424,0.3917,3.6994,73
w2_2026_000010_scan_hard_02,w2_2026_000010,w2,validation,hard,data\processed\irs_scan_variants\w2\validation\w2_2026_000010_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000010_scan_hard_02.json,0.5862,1.0528,7.8507,49
w2_2026_000011_scan_mild_01,w2_2026_000011,w2,test,mild,data\processed\irs_scan_variants\w2\test\w2_2026_000011_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000011_scan_mild_01.json,0.1894,0.4011,3.5054,72
w2_2026_000011_scan_hard_02,w2_2026_000011,w2,test,hard,data\processed\irs_scan_variants\w2\test\w2_2026_000011_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000011_scan_hard_02.json,1.7238,0.6663,5.1366,49
w2_2026_000012_scan_mild_01,w2_2026_000012,w2,validation,mild,data\processed\irs_scan_variants\w2\validation\w2_2026_000012_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000012_scan_mild_01.json,0.4054,0.6096,2.074,87
w2_2026_000012_scan_hard_02,w2_2026_000012,w2,validation,hard,data\processed\irs_scan_variants\w2\validation\w2_2026_000012_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000012_scan_hard_02.json,1.5359,0.737,5.9217,60
w2_2026_000013_scan_mild_01,w2_2026_000013,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000013_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000013_scan_mild_01.json,-1.1068,0.5069,3.9212,83
w2_2026_000013_scan_hard_02,w2_2026_000013,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000013_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000013_scan_hard_02.json,-0.0637,0.7376,9.5978,55
w2_2026_000014_scan_mild_01,w2_2026_000014,w2,validation,mild,data\processed\irs_scan_variants\w2\validation\w2_2026_000014_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000014_scan_mild_01.json,0.7916,0.4693,4.023,84
w2_2026_000014_scan_hard_02,w2_2026_000014,w2,validation,hard,data\processed\irs_scan_variants\w2\validation\w2_2026_000014_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000014_scan_hard_02.json,0.951,1.1333,7.1348,50
w2_2026_000015_scan_mild_01,w2_2026_000015,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000015_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000015_scan_mild_01.json,0.8524,0.4926,2.6971,76
w2_2026_000015_scan_hard_02,w2_2026_000015,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000015_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000015_scan_hard_02.json,1.225,1.1288,5.8603,50
w2_2026_000016_scan_mild_01,w2_2026_000016,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000016_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000016_scan_mild_01.json,-0.3192,0.5582,3.967,84
w2_2026_000016_scan_hard_02,w2_2026_000016,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000016_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000016_scan_hard_02.json,0.193,0.8995,9.7075,57
w2_2026_000017_scan_mild_01,w2_2026_000017,w2,validation,mild,data\processed\irs_scan_variants\w2\validation\w2_2026_000017_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000017_scan_mild_01.json,-0.7558,0.525,3.2669,86
w2_2026_000017_scan_hard_02,w2_2026_000017,w2,validation,hard,data\processed\irs_scan_variants\w2\validation\w2_2026_000017_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000017_scan_hard_02.json,0.3723,1.1833,8.548,56
w2_2026_000018_scan_mild_01,w2_2026_000018,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000018_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000018_scan_mild_01.json,1.2061,0.1902,3.8775,84
w2_2026_000018_scan_hard_02,w2_2026_000018,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000018_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000018_scan_hard_02.json,0.8208,0.8473,5.2252,55
w2_2026_000019_scan_mild_01,w2_2026_000019,w2,validation,mild,data\processed\irs_scan_variants\w2\validation\w2_2026_000019_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000019_scan_mild_01.json,0.9702,0.2532,2.287,87
w2_2026_000019_scan_hard_02,w2_2026_000019,w2,validation,hard,data\processed\irs_scan_variants\w2\validation\w2_2026_000019_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\validation\w2_2026_000019_scan_hard_02.json,-0.0817,1.1839,6.1943,60
w2_2026_000020_scan_mild_01,w2_2026_000020,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000020_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000020_scan_mild_01.json,0.7681,0.6108,4.0066,75
w2_2026_000020_scan_hard_02,w2_2026_000020,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000020_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000020_scan_hard_02.json,-2.0059,1.0662,7.9464,54
w2_2026_000021_scan_mild_01,w2_2026_000021,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000021_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000021_scan_mild_01.json,1.0749,0.579,2.8992,74
w2_2026_000021_scan_hard_02,w2_2026_000021,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000021_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000021_scan_hard_02.json,-0.4829,1.1836,5.9404,66
w2_2026_000022_scan_mild_01,w2_2026_000022,w2,test,mild,data\processed\irs_scan_variants\w2\test\w2_2026_000022_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000022_scan_mild_01.json,0.6614,0.6474,2.5131,77
w2_2026_000022_scan_hard_02,w2_2026_000022,w2,test,hard,data\processed\irs_scan_variants\w2\test\w2_2026_000022_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000022_scan_hard_02.json,0.1985,0.9519,5.794,48
w2_2026_000023_scan_mild_01,w2_2026_000023,w2,test,mild,data\processed\irs_scan_variants\w2\test\w2_2026_000023_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000023_scan_mild_01.json,-1.1836,0.1773,2.996,77
w2_2026_000023_scan_hard_02,w2_2026_000023,w2,test,hard,data\processed\irs_scan_variants\w2\test\w2_2026_000023_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000023_scan_hard_02.json,2.0174,1.0424,6.9725,56
w2_2026_000024_scan_mild_01,w2_2026_000024,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000024_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000024_scan_mild_01.json,-0.568,0.3824,4.2802,84
w2_2026_000024_scan_hard_02,w2_2026_000024,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000024_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000024_scan_hard_02.json,1.8074,0.7923,5.8038,69
w2_2026_000025_scan_mild_01,w2_2026_000025,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000025_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000025_scan_mild_01.json,0.9963,0.5743,4.8014,88
w2_2026_000025_scan_hard_02,w2_2026_000025,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000025_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000025_scan_hard_02.json,-2.3746,1.2698,9.0966,63
w2_2026_000026_scan_mild_01,w2_2026_000026,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000026_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000026_scan_mild_01.json,0.712,0.4075,2.1765,86
w2_2026_000026_scan_hard_02,w2_2026_000026,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000026_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000026_scan_hard_02.json,-0.0455,1.1942,7.5176,48
w2_2026_000027_scan_mild_01,w2_2026_000027,w2,test,mild,data\processed\irs_scan_variants\w2\test\w2_2026_000027_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000027_scan_mild_01.json,-1.0613,0.6088,2.3637,79
w2_2026_000027_scan_hard_02,w2_2026_000027,w2,test,hard,data\processed\irs_scan_variants\w2\test\w2_2026_000027_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\test\w2_2026_000027_scan_hard_02.json,-1.9485,1.0272,9.5466,48
w2_2026_000028_scan_mild_01,w2_2026_000028,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000028_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000028_scan_mild_01.json,-0.9438,0.5511,3.2939,72
w2_2026_000028_scan_hard_02,w2_2026_000028,w2,train,hard,data\processed\irs_scan_variants\w2\train\w2_2026_000028_scan_hard_02.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000028_scan_hard_02.json,-1.2007,1.3317,9.61,57
w2_2026_000029_scan_mild_01,w2_2026_000029,w2,train,mild,data\processed\irs_scan_variants\w2\train\w2_2026_000029_scan_mild_01.jpg,data\annotations\irs_scan_variants\w2\train\w2_2026_000029_scan_mild_01.json,-0.9683,0.3333,2.1323,89
