document_id,document_type,split,pdf_path,image_path,annotation_path,template_name,render_dpi,synthetic
w2_2026_000001,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000001.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000001.png,data\annotations\irs_synthetic\w2\train\w2_2026_000001.json,w2_2026,200,True
w2_2026_000002,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000002.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000002.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000002.json,w2_2026,200,True
w2_2026_000003,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000003.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000003.png,data\annotations\irs_synthetic\w2\train\w2_2026_000003.json,w2_2026,200,True
w2_2026_000004,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000004.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000004.png,data\annotations\irs_synthetic\w2\train\w2_2026_000004.json,w2_2026,200,True
w2_2026_000005,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000005.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000005.png,data\annotations\irs_synthetic\w2\train\w2_2026_000005.json,w2_2026,200,True
w2_2026_000006,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000006.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000006.png,data\annotations\irs_synthetic\w2\train\w2_2026_000006.json,w2_2026,200,True
w2_2026_000007,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000007.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000007.png,data\annotations\irs_synthetic\w2\train\w2_2026_000007.json,w2_2026,200,True
w2_2026_000008,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000008.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000008.png,data\annotations\irs_synthetic\w2\test\w2_2026_000008.json,w2_2026,200,True
w2_2026_000009,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000009.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000009.png,data\annotations\irs_synthetic\w2\train\w2_2026_000009.json,w2_2026,200,True
w2_2026_000010,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000010.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000010.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000010.json,w2_2026,200,True
w2_2026_000011,w2,test,data\raw\irs_synthetic\w2\test\pdf\w2_2026_000011.pdf,data\raw\irs_synthetic\w2\test\images\w2_2026_000011.png,data\annotations\irs_synthetic\w2\test\w2_2026_000011.json,w2_2026,200,True
w2_2026_000012,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000012.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000012.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000012.json,w2_2026,200,True
w2_2026_000013,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000013.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000013.png,data\annotations\irs_synthetic\w2\train\w2_2026_000013.json,w2_2026,200,True
w2_2026_000014,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000014.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000014.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000014.json,w2_2026,200,True
w2_2026_000015,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000015.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000015.png,data\annotations\irs_synthetic\w2\train\w2_2026_000015.json,w2_2026,200,True
w2_2026_000016,w2,train,data\raw\irs_synthetic\w2\train\pdf\w2_2026_000016.pdf,data\raw\irs_synthetic\w2\train\images\w2_2026_000016.png,data\annotations\irs_synthetic\w2\train\w2_2026_000016.json,w2_2026,200,True
w2_2026_000017,w2,validation,data\raw\irs_synthetic\w2\validation\pdf\w2_2026_000017.pdf,data\raw\irs_synthetic\w2\validation\images\w2_2026_000017.png,data\annotations\irs_synthetic\w2\validation\w2_2026_000017.json,w2_2026,200,True
