ticker,company_name,sector,cik,form,filing_date,report_date,accession_number,source_url,local_path
AAPL,Apple Inc.,Technology,0000320193,10-Q,2026-05-01,2026-03-28,0000320193-26-000013,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,data\raw\sec_filings\AAPL\filings\10-Q\2026-05-01_0000320193-26-000013_aapl-20260328.htm
AAPL,Apple Inc.,Technology,0000320193,8-K,2026-04-30,2026-04-30,0000320193-26-000011,https://www.sec.gov/Archives/edgar/data/320193/000032019326000011/aapl-20260430.htm,data\raw\sec_filings\AAPL\filings\8-K\2026-04-30_0000320193-26-000011_aapl-20260430.htm
AAPL,Apple Inc.,Technology,0000320193,10-K,2025-10-31,2025-09-27,0000320193-25-000079,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,data\raw\sec_filings\AAPL\filings\10-K\2025-10-31_0000320193-25-000079_aapl-20250927.htm
MSFT,MICROSOFT CORP,Technology,0000789019,10-K,2026-07-29,2026-06-30,0001193125-26-323660,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,data\raw\sec_filings\MSFT\filings\10-K\2026-07-29_0001193125-26-323660_msft-20260630.htm
MSFT,MICROSOFT CORP,Technology,0000789019,8-K,2026-07-29,2026-07-29,0001193125-26-323632,https://www.sec.gov/Archives/edgar/data/789019/000119312526323632/msft-20260729.htm,data\raw\sec_filings\MSFT\filings\8-K\2026-07-29_0001193125-26-323632_msft-20260729.htm
MSFT,MICROSOFT CORP,Technology,0000789019,10-Q,2026-04-29,2026-03-31,0001193125-26-191507,https://www.sec.gov/Archives/edgar/data/789019/000119312526191507/msft-20260331.htm,data\raw\sec_filings\MSFT\filings\10-Q\2026-04-29_0001193125-26-191507_msft-20260331.htm
NVDA,NVIDIA CORP,Technology,0001045810,8-K,2026-07-02,2026-06-28,0001045810-26-000060,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000060/nvda-20260628.htm,data\raw\sec_filings\NVDA\filings\8-K\2026-07-02_0001045810-26-000060_nvda-20260628.htm
NVDA,NVIDIA CORP,Technology,0001045810,10-Q,2026-05-20,2026-04-26,0001045810-26-000052,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000052/nvda-20260426.htm,data\raw\sec_filings\NVDA\filings\10-Q\2026-05-20_0001045810-26-000052_nvda-20260426.htm
NVDA,NVIDIA CORP,Technology,0001045810,10-K,2026-02-25,2026-01-25,0001045810-26-000021,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,data\raw\sec_filings\NVDA\filings\10-K\2026-02-25_0001045810-26-000021_nvda-20260125.htm
ORCL,ORACLE CORP,Technology,0001341439,10-K,2026-06-22,2026-05-31,0001193125-26-277521,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/orcl-20260531.htm,data\raw\sec_filings\ORCL\filings\10-K\2026-06-22_0001193125-26-277521_orcl-20260531.htm
