feature,coefficient,absolute_coefficient
numeric__alpha_ratio,3.2522508890063686,3.2522508890063686
numeric__digit_ratio,3.067334894292933,3.067334894292933
categorical__field_name_employer_name_address,2.78207542831604,2.78207542831604
categorical__field_name_state,2.381747659017145,2.381747659017145
categorical__field_name_state_tax_withheld,1.9606876427436317,1.9606876427436317
numeric__model_confidence,1.8966447413888585,1.8966447413888585
categorical__field_name_wages,-1.6563141629312963,1.6563141629312963
categorical__field_name_payer_city,-1.6062208796055482,1.6062208796055482
numeric__format_valid,1.5088539801278875,1.5088539801278875
numeric__punctuation_ratio,1.4069751035234541,1.4069751035234541
categorical__field_name_social_security_wages,-1.3984943778767986,1.3984943778767986
categorical__format_message_valid_state_code,1.3169986081430134,1.3169986081430134
categorical__field_name_state_income,1.2371647674899788,1.2371647674899788
numeric__prediction_length,-1.1765750641872317,1.1765750641872317
categorical__field_name_employee_address,-1.1438209789073852,1.1438209789073852
categorical__field_name_state_payer_number,1.0699494906660012,1.0699494906660012
categorical__field_name_employer_state_id,-1.047393083233888,1.047393083233888
categorical__final_engine_trocr,-1.0117277843474455,1.0117277843474455
categorical__field_name_employee_last_name,0.945802887486187,0.945802887486187
categorical__field_name_recipient_zip,-0.9439062274164852,0.9439062274164852
numeric__tesseract_trocr_agreement,0.9188068203740141,0.9188068203740141
numeric__ocr_confidence,-0.8255474413048546,0.8255474413048546
categorical__format_message_optional_value_missing,-0.7781528790633652,0.7781528790633652
numeric__has_trocr_candidate,-0.7634198572441766,0.7634198572441766
categorical__field_name_payer_zip,-0.7288985632332512,0.7288985632332512
numeric__router_probability,-0.7267017350578032,0.7267017350578032
categorical__field_name_recipient_city,-0.7102771939206978,0.7102771939206978
categorical__format_message_valid_ein_shape,0.6917708486181048,0.6917708486181048
categorical__field_name_state_wages,-0.6679185951459022,0.6679185951459022
categorical__final_engine_tesseract,0.6418076322068141,0.6418076322068141
categorical__field_name_recipient_state,-0.6019832407696671,0.6019832407696671
categorical__field_name_medicare_tax_withheld,0.5978942711523839,0.5978942711523839
categorical__field_name_federal_tax_withheld,-0.5747158605664443,0.5747158605664443
categorical__format_message_invalid_state_code,0.5277079254415274,0.5277079254415274
categorical__field_name_recipient_name,-0.5214465670107338,0.5214465670107338
categorical__format_message_valid_zip_shape,-0.4935779484204121,0.4935779484204121
categorical__field_name_employer_ein,0.48988457890996984,0.48988457890996984
numeric__cross_field_flag,-0.48126717954542103,0.48126717954542103
categorical__risk_tier_critical,-0.47825293917851147,0.47825293917851147
categorical__field_name_nonemployee_compensation,0.47748385269669325,0.47748385269669325
categorical__field_name_social_security_tax_withheld,0.4657423797720573,0.4657423797720573
categorical__field_name_employee_ssn,-0.451932829891192,0.451932829891192
categorical__format_message_valid_money,-0.4437337227594496,0.4437337227594496
categorical__field_name_recipient_street,0.4154220590717095,0.4154220590717095
categorical__format_message_invalid_zip_length,-0.3763663725128419,0.3763663725128419
categorical__field_name_state_income_tax,-0.3676167752916349,0.3676167752916349
categorical__field_name_federal_income_tax_withheld,-0.3541064895154676,0.3541064895154676
categorical__format_message_invalid_ein_length,-0.3120207797587469,0.3120207797587469
categorical__document_type_w2,-0.25191863958448946,0.25191863958448946
categorical__field_name_control_number,-0.24624058728005876,0.24624058728005876
categorical__field_name_payer_street,0.24244589219907403,0.24244589219907403
numeric__format_score,0.24150557313345114,0.24150557313345114
categorical__format_message_invalid_ssn_length,-0.2186548836550742,0.2186548836550742
categorical__field_name_payer_tin,-0.1976110733287881,0.1976110733287881
categorical__field_name_employee_first_name,-0.18634234236675803,0.18634234236675803
categorical__field_name_medicare_wages,-0.1742762507469792,0.1742762507469792
numeric__required_field,-0.15504551469100386,0.15504551469100386
categorical__field_name_recipient_tin,0.1358759833510067,0.1358759833510067
categorical__format_message_identifier_too_short,-0.13435735224986264,0.13435735224986264
categorical__risk_tier_descriptive,0.1322332251557414,0.1322332251557414
categorical__format_message_valid_text,0.1322332251557414,0.1322332251557414
categorical__document_type_1099_nec,-0.1180015125560803,0.1180015125560803
categorical__format_message_required_value_missing,-0.11211388116527904,0.11211388116527904
categorical__format_message_valid_ssn_shape,-0.09740196288511338,0.09740196288511338
categorical__field_name_payer_name,-0.08540508010621455,0.08540508010621455
categorical__field_name_payer_state,0.06501238810307776,0.06501238810307776
categorical__format_message_valid_identifier_shape,-0.061879719939354705,0.061879719939354705
categorical__field_name_account_number,0.027811726029512714,0.027811726029512714
categorical__risk_tier_structured,-0.023900438117645157,0.023900438117645157
categorical__format_message_negative_money,-0.010735875460377114,0.010735875460377114
categorical__format_message_identifier_too_long,0.0003646183707779892,0.0003646183707779892
