risk_tier,target_accuracy,threshold,tier_fields,fields_auto_accepted,fields_reviewed,auto_accept_coverage,auto_accepted_exact_match_rate,incorrect_field_capture_rate,incorrect_fields_auto_accepted,minimum_accept_count_met,target_met
critical,0.97,0.05,474,391,83,0.8249,0.6752,0.3894,127,True,False
critical,0.97,0.06,474,387,87,0.8165,0.6796,0.4038,124,True,False
critical,0.97,0.07,474,384,90,0.8101,0.6823,0.4135,122,True,False
critical,0.97,0.08,474,379,95,0.7996,0.686,0.4279,119,True,False
critical,0.97,0.09,474,374,100,0.789,0.6925,0.4471,115,True,False
critical,0.97,0.1,474,371,103,0.7827,0.6954,0.4567,113,True,False
critical,0.97,0.11,474,367,107,0.7743,0.6975,0.4663,111,True,False
critical,0.97,0.12,474,366,108,0.7722,0.6967,0.4663,111,True,False
critical,0.97,0.13,474,365,109,0.77,0.6986,0.4712,110,True,False
critical,0.97,0.14,474,364,110,0.7679,0.7005,0.476,109,True,False
critical,0.97,0.15,474,361,113,0.7616,0.7036,0.4856,107,True,False
critical,0.97,0.16,474,358,116,0.7553,0.7039,0.4904,106,True,False
critical,0.97,0.17,474,355,119,0.7489,0.707,0.5,104,True,False
critical,0.97,0.18,474,352,122,0.7426,0.7131,0.5144,101,True,False
critical,0.97,0.19,474,350,124,0.7384,0.7143,0.5192,100,True,False
critical,0.97,0.2,474,349,125,0.7363,0.7163,0.524,99,True,False
critical,0.97,0.21,474,348,126,0.7342,0.7184,0.5288,98,True,False
critical,0.97,0.22,474,347,127,0.7321,0.7205,0.5337,97,True,False
critical,0.97,0.23,474,347,127,0.7321,0.7205,0.5337,97,True,False
critical,0.97,0.24,474,346,128,0.73,0.7225,0.5385,96,True,False
critical,0.97,0.25,474,345,129,0.7278,0.7217,0.5385,96,True,False
critical,0.97,0.26,474,343,131,0.7236,0.723,0.5433,95,True,False
critical,0.97,0.27,474,341,133,0.7194,0.7243,0.5481,94,True,False
critical,0.97,0.28,474,339,135,0.7152,0.7286,0.5577,92,True,False
critical,0.97,0.29,474,334,140,0.7046,0.7275,0.5625,91,True,False
critical,0.97,0.3,474,332,142,0.7004,0.7319,0.5721,89,True,False
critical,0.97,0.31,474,329,145,0.6941,0.7356,0.5817,87,True,False
