feature,coefficient,absolute_coefficient
categorical__field_name_state,-4.827610944781489,4.827610944781489
categorical__field_name_employer_state_id,4.544868745173821,4.544868745173821
categorical__field_name_state_tax_withheld,3.61144148512791,3.61144148512791
categorical__field_name_control_number,-3.2684664925711853,3.2684664925711853
categorical__field_name_state_payer_number,3.182934014997318,3.182934014997318
categorical__field_name_state_income,3.179641312063662,3.179641312063662
categorical__field_name_payer_state,-2.9532072519206953,2.9532072519206953
categorical__field_name_recipient_state,-2.5793432215481182,2.5793432215481182
numeric__trocr_empty,-2.4736316736835584,2.4736316736835584
numeric__same_normalized_output,-2.425966369955625,2.425966369955625
categorical__field_name_employee_first_name,1.8004537283264923,1.8004537283264923
categorical__field_name_recipient_name,-1.79410278573726,1.79410278573726
categorical__field_name_payer_zip,-1.5411144559598147,1.5411144559598147
categorical__field_name_payer_city,1.5070240593333062,1.5070240593333062
categorical__field_name_employee_last_name,-1.4414193392918093,1.4414193392918093
categorical__field_name_medicare_tax_withheld,1.3820960531773296,1.3820960531773296
numeric__trocr_digit_ratio,1.3424458754529547,1.3424458754529547
categorical__field_name_account_number,-1.315462055344175,1.315462055344175
numeric__length_difference,1.2225649679310533,1.2225649679310533
categorical__field_name_payer_tin,-1.2151083996136085,1.2151083996136085
categorical__field_name_employer_ein,-1.188415013432352,1.188415013432352
numeric__trocr_punctuation_ratio,-1.0673569307198962,1.0673569307198962
categorical__field_name_recipient_zip,-1.0345631595798215,1.0345631595798215
numeric__tesseract_digit_ratio,-0.9649847810641974,0.9649847810641974
numeric__tesseract_confidence,-0.9047112279903404,0.9047112279903404
categorical__field_name_recipient_street,0.8699395034352643,0.8699395034352643
numeric__model_agreement_similarity,-0.8671147906602505,0.8671147906602505
categorical__field_name_social_security_wages,0.8522878130932523,0.8522878130932523
categorical__field_name_payer_name,-0.7928841285788929,0.7928841285788929
categorical__document_type_1099_nec,-0.7350752153682449,0.7350752153682449
categorical__field_name_recipient_city,-0.7136592737636475,0.7136592737636475
numeric__tesseract_length,-0.7078890326471713,0.7078890326471713
categorical__field_name_recipient_tin,0.6545616705889927,0.6545616705889927
categorical__field_name_state_wages,0.5761976511926321,0.5761976511926321
categorical__field_name_social_security_tax_withheld,0.5745839863623038,0.5745839863623038
categorical__field_name_payer_street,0.5509437564832439,0.5509437564832439
categorical__field_name_state_income_tax,0.5424676012730048,0.5424676012730048
numeric__tesseract_alpha_ratio,0.48955407945841395,0.48955407945841395
categorical__field_name_employee_ssn,-0.4606623824249711,0.4606623824249711
categorical__field_name_federal_tax_withheld,0.4235831007302812,0.4235831007302812
numeric__trocr_length,-0.40373633820402705,0.40373633820402705
numeric__tesseract_punctuation_ratio,-0.3979809912307931,0.3979809912307931
categorical__field_name_nonemployee_compensation,-0.3811984137771812,0.3811984137771812
numeric__trocr_format_score,0.3632799939949714,0.3632799939949714
numeric__trocr_alpha_ratio,0.22986277150582685,0.22986277150582685
categorical__field_name_wages,0.19987288845027693,0.19987288845027693
numeric__tesseract_format_score,-0.18709713972954595,0.18709713972954595
categorical__document_type_w2,-0.1540057697076319,0.1540057697076319
categorical__field_name_medicare_wages,0.13615683501470227,0.13615683501470227
numeric__tesseract_empty,0.12965430642537212,0.12965430642537212
categorical__field_name_federal_income_tax_withheld,0.029082128424979807,0.029082128424979807
