threshold,fields,fields_auto_accepted,fields_reviewed,field_review_rate,auto_accept_coverage,auto_accepted_exact_match_rate,incorrect_field_capture_rate,incorrect_fields_auto_accepted
0.5,1110,917,193,0.1739,0.8261,0.6161,0.3517,352
0.51,1110,917,193,0.1739,0.8261,0.6161,0.3517,352
0.52,1110,917,193,0.1739,0.8261,0.6161,0.3517,352
0.53,1110,917,193,0.1739,0.8261,0.6161,0.3517,352
0.54,1110,917,193,0.1739,0.8261,0.6161,0.3517,352
0.55,1110,917,193,0.1739,0.8261,0.6161,0.3517,352
0.56,1110,917,193,0.1739,0.8261,0.6161,0.3517,352
0.57,1110,917,193,0.1739,0.8261,0.6161,0.3517,352
0.58,1110,917,193,0.1739,0.8261,0.6161,0.3517,352
0.59,1110,917,193,0.1739,0.8261,0.6161,0.3517,352
0.6,1110,896,214,0.1928,0.8072,0.6183,0.3702,342
0.61,1110,894,216,0.1946,0.8054,0.6186,0.372,341
0.62,1110,893,217,0.1955,0.8045,0.6193,0.3738,340
0.63,1110,889,221,0.1991,0.8009,0.6198,0.3775,338
0.64,1110,885,225,0.2027,0.7973,0.6192,0.3794,337
0.65,1110,879,231,0.2081,0.7919,0.6177,0.3812,336
0.66,1110,869,241,0.2171,0.7829,0.6191,0.3904,331
0.67,1110,859,251,0.2261,0.7739,0.6217,0.4015,325
0.68,1110,850,260,0.2342,0.7658,0.6259,0.4144,318
0.69,1110,850,260,0.2342,0.7658,0.6259,0.4144,318
0.7,1110,840,270,0.2432,0.7568,0.6298,0.4273,311
0.71,1110,838,272,0.245,0.755,0.6301,0.4291,310
0.72,1110,834,276,0.2486,0.7514,0.6307,0.4328,308
0.73,1110,826,284,0.2559,0.7441,0.6308,0.4383,305
0.74,1110,821,289,0.2604,0.7396,0.6334,0.4457,301
0.75,1110,817,293,0.264,0.736,0.634,0.4494,299
0.76,1110,807,303,0.273,0.727,0.6357,0.4586,294
0.77,1110,799,311,0.2802,0.7198,0.6383,0.4678,289
0.78,1110,788,322,0.2901,0.7099,0.6409,0.4788,283
0.79,1110,771,339,0.3054,0.6946,0.6472,0.4991,272
0.8,1110,746,364,0.3279,0.6721,0.6475,0.5157,263
0.81,1110,723,387,0.3486,0.6514,0.6542,0.5396,250
0.82,1110,695,415,0.3739,0.6261,0.659,0.5635,237
0.83,1110,668,442,0.3982,0.6018,0.6647,0.5875,224
0.84,1110,641,469,0.4225,0.5775,0.6817,0.6243,204
0.85,1110,615,495,0.4459,0.5541,0.6959,0.6556,187
0.86,1110,510,600,0.5405,0.4595,0.7294,0.7459,138
0.87,1110,481,629,0.5667,0.4333,0.7484,0.7772,121
0.88,1110,459,651,0.5865,0.4135,0.7538,0.7919,113
0.89,1110,433,677,0.6099,0.3901,0.7852,0.8287,93
0.9,1110,415,695,0.6261,0.3739,0.8072,0.8527,80
0.91,1110,400,710,0.6396,0.3604,0.835,0.8785,66
0.92,1110,383,727,0.655,0.345,0.8512,0.895,57
0.93,1110,372,738,0.6649,0.3351,0.8629,0.9061,51
0.94,1110,359,751,0.6766,0.3234,0.8719,0.9153,46
0.95,1110,347,763,0.6874,0.3126,0.879,0.9227,42
