document_id,parent_document_id,document_type,quality,status,priority,total_field_count,accepted_field_count,review_field_count,critical_review_count,structured_review_count,descriptive_review_count,exception_count,review_state
w2_2026_000132_scan_hard_02,w2_2026_000132,w2,hard,exception_review,1,17,0,17,10,3,4,6,pending
w2_2026_000147_scan_hard_02,w2_2026_000147,w2,hard,exception_review,1,17,0,17,10,3,4,6,pending
w2_2026_000011_scan_hard_02,w2_2026_000011,w2,hard,exception_review,1,17,2,15,10,3,2,6,pending
w2_2026_000120_scan_hard_02,w2_2026_000120,w2,hard,exception_review,1,17,2,15,10,3,2,6,pending
w2_2026_000121_scan_hard_02,w2_2026_000121,w2,hard,exception_review,1,17,2,15,10,3,2,6,pending
w2_2026_000123_scan_mild_01,w2_2026_000123,w2,mild,exception_review,1,17,2,15,10,3,2,6,pending
w2_2026_000133_scan_hard_02,w2_2026_000133,w2,hard,exception_review,1,17,2,15,10,3,2,6,pending
w2_2026_000134_scan_hard_02,w2_2026_000134,w2,hard,exception_review,1,17,2,15,10,3,2,6,pending
w2_2026_000147_scan_mild_01,w2_2026_000147,w2,mild,exception_review,1,17,2,15,10,3,2,6,pending
w2_2026_000186_scan_hard_02,w2_2026_000186,w2,hard,exception_review,1,17,2,15,10,3,2,6,pending
w2_2026_000199_scan_mild_01,w2_2026_000199,w2,mild,exception_review,1,17,2,15,10,3,2,6,pending
w2_2026_000069_scan_hard_02,w2_2026_000069,w2,hard,exception_review,1,17,3,14,10,2,2,6,pending
w2_2026_000247_scan_hard_02,w2_2026_000247,w2,hard,exception_review,1,17,3,14,10,2,2,6,pending
w2_2026_000174_scan_mild_01,w2_2026_000174,w2,mild,exception_review,1,17,4,13,10,2,1,6,pending
w2_2026_000027_scan_hard_02,w2_2026_000027,w2,hard,exception_review,1,17,0,17,10,3,4,4,pending
w2_2026_000244_scan_hard_02,w2_2026_000244,w2,hard,exception_review,1,17,1,16,10,3,3,4,pending
w2_2026_000008_scan_hard_02,w2_2026_000008,w2,hard,exception_review,1,17,2,15,10,3,2,4,pending
w2_2026_000023_scan_hard_02,w2_2026_000023,w2,hard,exception_review,1,17,2,15,10,3,2,4,pending
w2_2026_000027_scan_mild_01,w2_2026_000027,w2,mild,exception_review,1,17,2,15,10,3,2,4,pending
w2_2026_000057_scan_hard_02,w2_2026_000057,w2,hard,exception_review,1,17,2,15,10,3,2,4,pending
w2_2026_000062_scan_hard_02,w2_2026_000062,w2,hard,exception_review,1,17,2,15,10,3,2,4,pending
w2_2026_000066_scan_hard_02,w2_2026_000066,w2,hard,exception_review,1,17,2,15,10,3,2,4,pending
w2_2026_000116_scan_hard_02,w2_2026_000116,w2,hard,exception_review,1,17,2,15,10,3,2,4,pending
w2_2026_000121_scan_mild_01,w2_2026_000121,w2,mild,exception_review,1,17,2,15,10,3,2,4,pending
w2_2026_000199_scan_hard_02,w2_2026_000199,w2,hard,exception_review,1,17,2,15,10,3,2,4,pending
w2_2026_000008,w2_2026_000008,w2,clean,exception_review,1,17,3,14,10,3,1,4,pending
w2_2026_000027,w2_2026_000027,w2,clean,exception_review,1,17,3,14,10,3,1,4,pending
w2_2026_000062,w2_2026_000062,w2,clean,exception_review,1,17,3,14,10,3,1,4,pending
w2_2026_000066_scan_mild_01,w2_2026_000066,w2,mild,exception_review,1,17,3,14,10,2,2,4,pending
w2_2026_000069_scan_mild_01,w2_2026_000069,w2,mild,exception_review,1,17,3,14,10,2,2,4,pending
w2_2026_000093_scan_mild_01,w2_2026_000093,w2,mild,exception_review,1,17,3,14,10,2,2,4,pending
w2_2026_000120,w2_2026_000120,w2,clean,exception_review,1,17,3,14,10,3,1,4,pending
