quality,document_type,field_name,field_kind,field_predictions,exact_match_rate,mean_similarity,median_similarity,mean_ocr_confidence,empty_prediction_rate,high_similarity_mismatch_rate,priority_score
clean,1099_nec,state_tax_withheld,money,44,0.0682,32.83,0.0,3.91,0.6136,0.25,0.806
clean,1099_nec,state_payer_number,identifier,44,0.0,29.89,27.62,0.66,0.0227,0.0,0.7637
clean,1099_nec,recipient_zip,text,44,0.0,35.73,35.71,35.8,0.0,0.0,0.7428
clean,w2,employee_address,multiline,37,0.0,70.73,70.69,94.77,0.0,0.0,0.6378
clean,w2,medicare_wages,money,37,0.027,70.65,73.68,19.84,0.0,0.3784,0.6232
clean,1099_nec,recipient_state,state,44,0.0909,70.46,66.67,31.17,0.0,0.1591,0.5886
clean,w2,employee_ssn,identifier,37,0.0541,86.2,84.21,17.39,0.0,0.8919,0.5616
clean,w2,federal_tax_withheld,money,37,0.1351,79.77,85.71,37.86,0.0,0.5135,0.5364
clean,w2,employer_state_id,identifier,37,0.1351,81.36,84.21,3.84,0.0,0.5676,0.5316
clean,w2,social_security_tax_withheld,money,37,0.3514,83.53,85.71,32.14,0.0,0.4054,0.4061
clean,w2,wages,money,37,0.3784,88.62,93.33,43.78,0.027,0.3514,0.3801
clean,w2,social_security_wages,money,37,0.3784,90.43,88.89,30.61,0.0,0.5135,0.3706
clean,1099_nec,payer_state,state,44,0.4318,83.33,80.0,32.45,0.0,0.3409,0.3625
clean,w2,state_income_tax,money,37,0.4054,89.08,85.71,34.59,0.0,0.4865,0.3598
clean,1099_nec,state_income,money,44,0.5227,95.11,100.0,6.98,0.0,0.4545,0.2772
clean,w2,state_wages,money,37,0.5946,93.39,100.0,48.57,0.0,0.2973,0.2428
clean,1099_nec,payer_zip,text,44,0.6364,89.96,100.0,47.19,0.0,0.1818,0.2301
clean,w2,state,state,37,0.7838,88.29,100.0,37.59,0.0541,0.0,0.1622
clean,w2,employer_ein,identifier,37,0.7568,97.16,100.0,2.16,0.0,0.2162,0.1423
clean,1099_nec,nonemployee_compensation,money,44,0.8636,96.46,100.0,51.61,0.0,0.0909,0.0856
clean,w2,medicare_tax_withheld,money,37,0.9189,98.65,100.0,83.41,0.0,0.0811,0.0487
clean,w2,employer_name_address,multiline,37,0.9189,99.76,100.0,94.27,0.0,0.0811,0.0453
clean,1099_nec,payer_city,text,44,0.9318,99.65,100.0,88.53,0.0,0.0682,0.0386
clean,1099_nec,recipient_city,text,44,0.9773,99.66,100.0,90.38,0.0,0.0227,0.0135
clean,1099_nec,account_number,identifier,44,1.0,100.0,100.0,90.34,0.0,0.0,0.0
clean,1099_nec,federal_income_tax_withheld,text,44,1.0,100.0,100.0,48.1,0.0,0.0,0.0
clean,1099_nec,payer_name,text,44,1.0,100.0,100.0,93.62,0.0,0.0,0.0
clean,1099_nec,payer_street,text,44,1.0,100.0,100.0,95.7,0.0,0.0,0.0
clean,1099_nec,payer_tin,identifier,44,1.0,100.0,100.0,91.52,0.0,0.0,0.0
clean,1099_nec,recipient_name,text,44,1.0,100.0,100.0,95.65,0.0,0.0,0.0
clean,1099_nec,recipient_street,text,44,1.0,100.0,100.0,95.66,0.0,0.0,0.0
clean,1099_nec,recipient_tin,identifier,44,1.0,100.0,100.0,91.36,0.0,0.0,0.0
clean,w2,control_number,identifier,37,1.0,100.0,100.0,0.0,0.0,0.0,0.0
clean,w2,employee_first_name,text,37,1.0,100.0,100.0,91.41,0.0,0.0,0.0
clean,w2,employee_last_name,text,37,1.0,100.0,100.0,95.73,0.0,0.0,0.0
hard,w2,control_number,identifier,37,0.0,6.83,0.0,5.01,0.6216,0.027,0.9228
hard,w2,employer_ein,identifier,37,0.0,7.63,0.0,4.28,0.5405,0.0541,0.9082
hard,w2,employer_state_id,identifier,37,0.0,13.72,0.0,0.22,0.6486,0.027,0.9061
hard,1099_nec,state_payer_number,identifier,44,0.0,27.15,20.0,2.2,0.4318,0.0455,0.8333
hard,1099_nec,payer_zip,text,44,0.0,14.67,0.0,24.31,0.1364,0.0227,0.8264
hard,1099_nec,account_number,identifier,44,0.0909,18.34,0.0,7.21,0.4545,0.0455,0.8132
hard,1099_nec,recipient_zip,text,44,0.0,16.52,0.0,29.88,0.0455,0.0,0.8073
hard,w2,state,state,37,0.1622,22.97,0.0,6.81,0.6757,0.0,0.7932
hard,1099_nec,state_tax_withheld,money,44,0.0455,33.43,18.34,9.23,0.3864,0.1591,0.7826
hard,1099_nec,federal_income_tax_withheld,text,44,0.0,32.56,35.57,31.49,0.1591,0.0227,0.7762
hard,w2,medicare_wages,money,37,0.0811,36.94,0.0,12.14,0.5135,0.2432,0.7716
