quality,document_type,field_name,field_predictions,exact_match_rate,mean_similarity,mean_ocr_confidence
clean,1099_nec,account_number,3,1.0,100.0,90.67
clean,1099_nec,federal_income_tax_withheld,3,1.0,100.0,48.0
clean,1099_nec,nonemployee_compensation,3,0.3333,76.02,57.67
clean,1099_nec,payer_city,3,1.0,100.0,91.83
clean,1099_nec,payer_name,3,1.0,100.0,93.94
clean,1099_nec,payer_state,3,0.3333,82.22,31.17
clean,1099_nec,payer_street,3,1.0,100.0,95.8
clean,1099_nec,payer_tin,3,1.0,100.0,92.0
clean,1099_nec,payer_zip,3,0.3333,82.22,42.67
clean,1099_nec,recipient_city,3,1.0,100.0,89.17
clean,1099_nec,recipient_name,3,1.0,100.0,95.83
clean,1099_nec,recipient_state,3,0.0,71.11,25.83
clean,1099_nec,recipient_street,3,1.0,100.0,96.0
clean,1099_nec,recipient_tin,3,1.0,100.0,92.0
clean,1099_nec,recipient_zip,3,0.0,38.57,37.5
clean,1099_nec,state_income,3,0.6667,95.83,10.67
clean,1099_nec,state_payer_number,3,0.0,42.59,0.0
clean,1099_nec,state_tax_withheld,3,0.0,27.78,0.0
clean,w2,control_number,3,1.0,100.0,0.0
clean,w2,employee_address,3,0.0,72.16,94.7
clean,w2,employee_first_name,3,1.0,100.0,91.83
clean,w2,employee_last_name,3,1.0,100.0,96.0
clean,w2,employee_ssn,3,0.0,84.21,12.5
clean,w2,employer_ein,3,0.6667,96.3,0.0
clean,w2,employer_name_address,3,1.0,100.0,94.96
clean,w2,employer_state_id,3,0.0,85.7,0.0
clean,w2,federal_tax_withheld,3,0.0,86.31,36.67
clean,w2,medicare_tax_withheld,3,0.6667,94.44,88.67
clean,w2,medicare_wages,3,0.0,62.44,4.33
clean,w2,social_security_tax_withheld,3,0.0,73.81,27.67
clean,w2,social_security_wages,3,0.3333,92.13,44.67
clean,w2,state,3,0.6667,88.89,36.67
clean,w2,state_income_tax,3,0.3333,90.47,39.67
clean,w2,state_wages,3,0.3333,83.33,50.33
clean,w2,wages,3,0.0,57.3,32.33
hard,1099_nec,account_number,3,0.0,36.27,10.06
hard,1099_nec,federal_income_tax_withheld,3,0.0,40.78,39.7
hard,1099_nec,nonemployee_compensation,3,0.6667,74.07,62.5
hard,1099_nec,payer_city,3,0.3333,48.58,59.42
