quality,document_type,field_name,field_predictions,exact_match_rate,mean_similarity,mean_ocr_confidence
clean,1099_nec,account_number,3,1.0,100.0,91.33
clean,1099_nec,federal_income_tax_withheld,3,1.0,100.0,81.0
clean,1099_nec,nonemployee_compensation,3,0.6667,98.04,71.5
clean,1099_nec,payer_city,3,1.0,100.0,92.33
clean,1099_nec,payer_name,3,1.0,100.0,94.67
clean,1099_nec,payer_state,3,0.0,33.33,18.33
clean,1099_nec,payer_street,3,1.0,100.0,95.8
clean,1099_nec,payer_tin,3,1.0,100.0,91.33
clean,1099_nec,payer_zip,3,0.0,0.0,0.0
clean,1099_nec,recipient_city,3,1.0,100.0,89.83
clean,1099_nec,recipient_name,3,1.0,100.0,95.83
clean,1099_nec,recipient_state,3,0.0,16.67,29.67
clean,1099_nec,recipient_street,3,1.0,100.0,96.07
clean,1099_nec,recipient_tin,3,1.0,100.0,91.33
clean,1099_nec,recipient_zip,3,0.0,22.22,3.33
clean,1099_nec,state_income,3,1.0,100.0,51.0
clean,1099_nec,state_payer_number,3,0.0,66.67,0.0
clean,1099_nec,state_tax_withheld,3,0.6667,95.24,57.0
clean,w2,control_number,3,0.0,81.82,36.33
clean,w2,employee_address,3,0.0,72.16,94.93
clean,w2,employee_first_name,3,1.0,100.0,92.17
clean,w2,employee_last_name,3,1.0,100.0,96.0
clean,w2,employee_ssn,3,0.6667,87.18,0.0
clean,w2,employer_ein,3,0.3333,92.59,1.67
clean,w2,employer_name_address,3,0.0,71.76,60.94
clean,w2,employer_state_id,3,0.0,12.12,0.0
clean,w2,federal_tax_withheld,3,0.6667,95.83,69.0
clean,w2,medicare_tax_withheld,3,0.3333,87.91,60.0
clean,w2,medicare_wages,3,0.0,78.05,70.0
clean,w2,social_security_tax_withheld,3,0.3333,85.71,65.0
clean,w2,social_security_wages,3,0.3333,68.13,85.17
clean,w2,state,3,0.0,22.22,0.0
clean,w2,state_income_tax,3,0.3333,87.54,53.33
clean,w2,state_wages,3,0.3333,76.85,52.33
clean,w2,wages,3,0.3333,92.16,51.67
hard,1099_nec,account_number,3,0.0,24.76,4.67
hard,1099_nec,federal_income_tax_withheld,3,0.6667,95.24,68.0
hard,1099_nec,nonemployee_compensation,3,1.0,100.0,83.17
hard,1099_nec,payer_city,3,0.0,67.75,60.19
hard,1099_nec,payer_name,3,0.0,49.0,57.48
hard,1099_nec,payer_state,3,0.0,50.0,2.33
hard,1099_nec,payer_street,3,0.6667,87.5,72.17
hard,1099_nec,payer_tin,3,0.0,0.0,4.0
hard,1099_nec,payer_zip,3,0.0,0.0,0.0
hard,1099_nec,recipient_city,3,0.0,86.94,48.44
hard,1099_nec,recipient_name,3,0.3333,85.24,71.0
hard,1099_nec,recipient_state,3,0.0,16.67,4.33
hard,1099_nec,recipient_street,3,0.6667,89.29,82.38
hard,1099_nec,recipient_tin,3,0.0,0.0,5.33
hard,1099_nec,recipient_zip,3,0.0,0.0,0.0
hard,1099_nec,state_income,3,0.3333,66.67,27.89
hard,1099_nec,state_payer_number,3,0.0,36.3,0.0
hard,1099_nec,state_tax_withheld,3,0.3333,46.67,25.0
hard,w2,control_number,3,0.3333,47.37,2.0
hard,w2,employee_address,3,0.0,66.39,87.74
