quality,document_type,field_name,field_kind,field_predictions,exact_match_rate,mean_similarity,median_similarity,mean_ocr_confidence,empty_prediction_rate,high_similarity_mismatch_rate,priority_score
clean,w2,employee_address,multiline,37,0.0,70.73,70.69,94.77,0.0,0.0,0.6378
clean,1099_nec,state_payer_number,identifier,44,0.0682,58.25,57.98,1.93,0.0,0.2045,0.6377
clean,1099_nec,recipient_zip,text,44,0.0,74.08,76.92,33.34,0.0,0.0455,0.6278
clean,1099_nec,recipient_state,state,44,0.25,47.58,50.0,40.42,0.0,0.0455,0.5698
clean,w2,control_number,identifier,37,0.0811,85.11,83.33,31.54,0.0,0.7568,0.5501
clean,w2,employee_ssn,identifier,37,0.0541,90.11,88.89,17.39,0.0,0.8919,0.5499
clean,w2,employer_state_id,identifier,37,0.1351,81.36,84.21,3.84,0.0,0.5676,0.5316
clean,1099_nec,payer_state,state,44,0.3409,58.33,50.0,37.25,0.0,0.0,0.4875
clean,w2,state_income_tax,money,37,0.2973,84.63,85.71,51.41,0.0,0.4595,0.4326
clean,w2,social_security_wages,money,37,0.2973,86.44,94.12,82.95,0.0,0.5405,0.4272
clean,w2,federal_tax_withheld,money,37,0.3514,83.65,87.5,64.42,0.0,0.2703,0.4058
clean,w2,social_security_tax_withheld,money,37,0.4054,86.52,85.71,58.97,0.0,0.3784,0.3675
clean,w2,wages,money,37,0.4054,91.36,88.89,50.3,0.0,0.4054,0.353
clean,w2,state_wages,money,37,0.4324,91.79,88.89,55.81,0.0,0.4324,0.3368
clean,1099_nec,payer_zip,text,44,0.6364,92.26,100.0,46.74,0.0,0.2273,0.2232
clean,1099_nec,state_tax_withheld,money,44,0.6364,92.86,100.0,54.7,0.0,0.2727,0.2214
clean,w2,medicare_wages,money,37,0.7027,93.56,100.0,75.76,0.0,0.1892,0.1828
clean,1099_nec,nonemployee_compensation,money,44,0.6818,98.14,100.0,59.16,0.0,0.3182,0.1806
clean,w2,state,state,37,0.7838,88.29,100.0,37.59,0.0541,0.0,0.1622
clean,w2,employer_ein,identifier,37,0.7297,96.1,100.0,3.68,0.0,0.1892,0.1604
clean,1099_nec,state_income,money,44,0.8182,97.6,100.0,38.5,0.0,0.1591,0.1072
clean,1099_nec,payer_city,text,44,0.8864,97.7,100.0,90.41,0.0,0.0682,0.0694
clean,w2,medicare_tax_withheld,money,37,0.8919,98.57,100.0,87.78,0.0,0.1081,0.0637
clean,w2,employer_name_address,multiline,37,0.9189,99.76,100.0,94.27,0.0,0.0811,0.0453
clean,1099_nec,recipient_city,text,44,0.9545,98.64,100.0,91.22,0.0,0.0227,0.0291
clean,1099_nec,federal_income_tax_withheld,text,44,0.9773,98.97,100.0,90.23,0.0,0.0,0.0156
clean,1099_nec,account_number,identifier,44,1.0,100.0,100.0,90.34,0.0,0.0,0.0
clean,1099_nec,payer_name,text,44,1.0,100.0,100.0,93.62,0.0,0.0,0.0
clean,1099_nec,payer_street,text,44,1.0,100.0,100.0,95.7,0.0,0.0,0.0
clean,1099_nec,payer_tin,identifier,44,1.0,100.0,100.0,91.52,0.0,0.0,0.0
clean,1099_nec,recipient_name,text,44,1.0,100.0,100.0,95.65,0.0,0.0,0.0
clean,1099_nec,recipient_street,text,44,1.0,100.0,100.0,95.66,0.0,0.0,0.0
clean,1099_nec,recipient_tin,identifier,44,1.0,100.0,100.0,91.36,0.0,0.0,0.0
clean,w2,employee_first_name,text,37,1.0,100.0,100.0,91.41,0.0,0.0,0.0
