quality,document_type,field_name,field_predictions,exact_match_rate,mean_similarity,mean_ocr_confidence,enhanced_selection_rate
clean,1099_nec,account_number,3,1.0,100.0,90.67,0.0
clean,1099_nec,federal_income_tax_withheld,3,1.0,100.0,80.0,0.6667
clean,1099_nec,nonemployee_compensation,3,0.3333,96.29,79.67,0.6667
clean,1099_nec,payer_city,3,1.0,100.0,91.83,0.0
clean,1099_nec,payer_name,3,1.0,100.0,93.94,0.0
clean,1099_nec,payer_state,3,0.3333,50.0,32.33,0.6667
clean,1099_nec,payer_street,3,1.0,100.0,95.8,0.0
clean,1099_nec,payer_tin,3,1.0,100.0,92.0,0.0
clean,1099_nec,payer_zip,3,0.3333,85.64,42.67,0.0
clean,1099_nec,recipient_city,3,1.0,100.0,89.17,0.0
clean,1099_nec,recipient_name,3,1.0,100.0,95.83,0.0
clean,1099_nec,recipient_state,3,0.0,43.33,42.33,0.6667
clean,1099_nec,recipient_street,3,1.0,100.0,96.0,0.0
clean,1099_nec,recipient_tin,3,1.0,100.0,92.0,0.0
clean,1099_nec,recipient_zip,3,0.0,76.92,37.5,0.0
clean,1099_nec,state_income,3,1.0,100.0,51.0,1.0
clean,1099_nec,state_payer_number,3,0.0,48.15,0.0,0.3333
clean,1099_nec,state_tax_withheld,3,0.6667,95.24,57.0,1.0
clean,w2,control_number,3,0.0,81.82,36.33,1.0
clean,w2,employee_address,3,0.0,72.16,94.7,0.0
clean,w2,employee_first_name,3,1.0,100.0,91.83,0.0
clean,w2,employee_last_name,3,1.0,100.0,96.0,0.0
clean,w2,employee_ssn,3,0.0,88.89,12.5,0.0
clean,w2,employer_ein,3,0.6667,96.3,0.0,0.0
clean,w2,employer_name_address,3,1.0,100.0,94.96,0.0
clean,w2,employer_state_id,3,0.0,85.7,0.0,0.0
clean,w2,federal_tax_withheld,3,0.6667,95.83,69.0,1.0
clean,w2,medicare_tax_withheld,3,0.6667,94.44,88.67,0.0
clean,w2,medicare_wages,3,0.0,78.05,70.0,1.0
clean,w2,social_security_tax_withheld,3,0.3333,85.71,65.0,1.0
clean,w2,social_security_wages,3,0.6667,80.95,89.33,0.6667
clean,w2,state,3,0.6667,88.89,36.67,0.0
clean,w2,state_income_tax,3,0.3333,87.54,52.0,0.6667
clean,w2,state_wages,3,0.3333,87.5,55.33,0.3333
clean,w2,wages,3,0.0,84.75,50.67,0.3333
hard,1099_nec,account_number,3,0.0,37.66,11.0,0.6667
hard,1099_nec,federal_income_tax_withheld,3,0.6667,80.0,47.5,1.0
hard,1099_nec,nonemployee_compensation,3,1.0,100.0,93.0,0.6667
hard,1099_nec,payer_city,3,0.0,49.49,63.11,1.0
hard,1099_nec,payer_name,3,0.0,40.28,41.6,1.0
hard,1099_nec,payer_state,3,0.3333,50.0,27.0,0.3333
hard,1099_nec,payer_street,3,0.3333,94.21,76.41,0.6667
hard,1099_nec,payer_tin,3,0.0,6.06,22.67,0.3333
hard,1099_nec,payer_zip,3,0.0,55.55,16.5,0.3333
hard,1099_nec,recipient_city,3,0.3333,57.54,50.97,0.3333
hard,1099_nec,recipient_name,3,0.0,49.94,46.03,0.6667
hard,1099_nec,recipient_state,3,0.0,33.33,16.0,0.6667
hard,1099_nec,recipient_street,3,0.6667,96.3,84.57,0.3333
hard,1099_nec,recipient_tin,3,0.3333,33.33,39.33,0.3333
hard,1099_nec,recipient_zip,3,0.0,65.56,44.11,0.0
hard,1099_nec,state_income,3,0.3333,61.62,17.33,0.6667
hard,1099_nec,state_payer_number,3,0.0,39.15,0.0,0.6667
hard,1099_nec,state_tax_withheld,3,0.3333,53.33,28.33,1.0
hard,w2,control_number,3,0.0,61.96,8.97,0.3333
hard,w2,employee_address,3,0.0,72.06,76.97,0.0
hard,w2,employee_first_name,3,1.0,100.0,88.83,0.3333
hard,w2,employee_last_name,3,1.0,100.0,85.67,0.3333
hard,w2,employee_ssn,3,0.0,38.05,0.0,0.0
hard,w2,employer_ein,3,0.3333,69.52,48.33,1.0
hard,w2,employer_name_address,3,0.0,75.3,70.75,0.3333
hard,w2,employer_state_id,3,0.0,18.18,0.0,0.0
hard,w2,federal_tax_withheld,3,0.3333,70.37,14.5,0.6667
hard,w2,medicare_tax_withheld,3,0.3333,80.77,19.83,0.6667
hard,w2,medicare_wages,3,0.6667,66.67,31.33,0.6667
hard,w2,social_security_tax_withheld,3,0.3333,49.65,14.5,0.6667
hard,w2,social_security_wages,3,0.0,87.48,39.5,1.0
hard,w2,state,3,0.0,16.67,0.0,1.0
hard,w2,state_income_tax,3,0.0,57.51,47.33,0.6667
hard,w2,state_wages,3,0.0,78.85,22.67,0.6667
hard,w2,wages,3,0.3333,73.61,49.33,0.3333
mild,1099_nec,account_number,3,1.0,100.0,32.0,0.0
mild,1099_nec,federal_income_tax_withheld,3,1.0,100.0,86.5,1.0
mild,1099_nec,nonemployee_compensation,3,0.6667,76.92,73.0,0.0
mild,1099_nec,payer_city,3,0.3333,76.49,73.83,1.0
mild,1099_nec,payer_name,3,1.0,100.0,85.56,0.0
mild,1099_nec,payer_state,3,0.0,38.89,14.78,0.6667
mild,1099_nec,payer_street,3,1.0,100.0,95.89,0.0
mild,1099_nec,payer_tin,3,1.0,100.0,92.0,0.0
mild,1099_nec,payer_zip,3,0.0,55.04,35.33,0.3333
mild,1099_nec,recipient_city,3,1.0,100.0,88.89,0.0
mild,1099_nec,recipient_name,3,1.0,100.0,84.78,0.3333
mild,1099_nec,recipient_state,3,0.0,16.67,17.67,1.0
mild,1099_nec,recipient_street,3,1.0,100.0,93.73,0.0
mild,1099_nec,recipient_tin,3,1.0,100.0,92.0,0.0
mild,1099_nec,recipient_zip,3,0.0,76.14,22.37,0.3333
mild,1099_nec,state_income,3,0.3333,87.96,18.67,0.6667
mild,1099_nec,state_payer_number,3,0.0,65.1,18.67,0.3333
mild,1099_nec,state_tax_withheld,3,0.6667,88.89,54.67,1.0
mild,w2,control_number,3,1.0,100.0,11.33,0.3333
mild,w2,employee_address,3,0.0,70.28,94.43,0.0
mild,w2,employee_first_name,3,1.0,100.0,89.67,0.0
mild,w2,employee_last_name,3,1.0,100.0,96.0,0.0
mild,w2,employee_ssn,3,0.0,77.2,19.11,0.3333
mild,w2,employer_ein,3,0.0,56.67,0.0,1.0
mild,w2,employer_name_address,3,0.0,75.9,66.87,0.0
mild,w2,employer_state_id,3,0.3333,77.98,0.0,0.6667
mild,w2,federal_tax_withheld,3,0.3333,84.26,23.0,0.3333
mild,w2,medicare_tax_withheld,3,1.0,100.0,89.33,0.3333
mild,w2,medicare_wages,3,1.0,100.0,70.67,0.6667
mild,w2,social_security_tax_withheld,3,1.0,100.0,76.33,0.3333
mild,w2,social_security_wages,3,1.0,100.0,81.33,0.3333
mild,w2,state,3,0.6667,83.33,15.0,0.3333
mild,w2,state_income_tax,3,0.3333,89.68,35.67,0.3333
mild,w2,state_wages,3,0.3333,91.67,35.0,1.0
mild,w2,wages,3,0.0,78.62,46.33,0.6667
