quality,document_type,field_name,field_predictions,exact_match_rate,mean_similarity,mean_ocr_confidence
clean,1099_nec,account_number,27,1.0,100.0,91.0
clean,1099_nec,federal_income_tax_withheld,27,1.0,100.0,47.87
clean,1099_nec,nonemployee_compensation,27,0.9259,99.56,54.37
clean,1099_nec,payer_city,27,1.0,100.0,87.96
clean,1099_nec,payer_name,27,1.0,100.0,93.56
clean,1099_nec,payer_state,27,0.4074,79.14,23.81
clean,1099_nec,payer_street,27,1.0,100.0,95.75
clean,1099_nec,payer_tin,27,1.0,100.0,91.41
clean,1099_nec,payer_zip,27,0.5185,86.84,50.79
clean,1099_nec,recipient_city,27,0.963,99.84,93.3
clean,1099_nec,recipient_name,27,1.0,100.0,95.38
clean,1099_nec,recipient_state,27,0.037,65.43,27.15
clean,1099_nec,recipient_street,27,0.9259,99.7,95.19
clean,1099_nec,recipient_tin,27,1.0,100.0,91.37
clean,1099_nec,recipient_zip,27,0.0,34.82,34.95
clean,1099_nec,state_income,27,0.5926,95.53,10.41
clean,1099_nec,state_payer_number,27,0.0,41.91,1.33
clean,1099_nec,state_tax_withheld,27,0.1111,32.7,5.52
clean,w2,control_number,26,1.0,100.0,0.04
clean,w2,employee_address,26,0.0,71.36,94.7
clean,w2,employee_first_name,26,1.0,100.0,91.29
clean,w2,employee_last_name,26,1.0,100.0,95.96
clean,w2,employee_ssn,26,0.0,85.73,21.54
clean,w2,employer_ein,26,0.7692,97.89,4.42
clean,w2,employer_name_address,26,0.8462,99.2,92.18
clean,w2,employer_state_id,26,0.0769,79.15,2.92
clean,w2,federal_tax_withheld,26,0.1154,82.23,37.31
clean,w2,medicare_tax_withheld,26,1.0,100.0,87.92
clean,w2,medicare_wages,26,0.0769,70.48,18.88
clean,w2,social_security_tax_withheld,26,0.4615,88.68,31.23
clean,w2,social_security_wages,26,0.5769,90.83,38.19
clean,w2,state,26,0.7308,84.49,40.92
clean,w2,state_income_tax,26,0.5,89.69,40.38
clean,w2,state_wages,26,0.5,92.36,50.38
clean,w2,wages,26,0.5,92.3,46.23
hard,1099_nec,account_number,27,0.1111,35.51,15.19
hard,1099_nec,federal_income_tax_withheld,27,0.037,34.08,33.95
