ticker,form,filing_date,accession_number,primary_status,fallback_available,fallback_metrics_used,final_metrics_found,final_completeness_rate,final_status,extraction_strategy,requires_human_review,output_path,error
AAPL,10-Q,2026-05-01,0000320193-26-000013,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\AAPL\10-Q\0000320193-26-000013.json,
AAPL,8-K,2026-04-30,0000320193-26-000011,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\AAPL\8-K\0000320193-26-000011.json,
AAPL,10-K,2025-10-31,0000320193-25-000079,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\AAPL\10-K\0000320193-25-000079.json,
MSFT,10-K,2026-07-29,0001193125-26-323660,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\MSFT\10-K\0001193125-26-323660.json,
MSFT,8-K,2026-07-29,0001193125-26-323632,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\MSFT\8-K\0001193125-26-323632.json,
MSFT,10-Q,2026-04-29,0001193125-26-191507,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\MSFT\10-Q\0001193125-26-191507.json,
NVDA,8-K,2026-07-02,0001045810-26-000060,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\NVDA\8-K\0001045810-26-000060.json,
NVDA,10-Q,2026-05-20,0001045810-26-000052,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\NVDA\10-Q\0001045810-26-000052.json,
NVDA,10-K,2026-02-25,0001045810-26-000021,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\NVDA\10-K\0001045810-26-000021.json,
ORCL,10-K,2026-06-22,0001193125-26-277521,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\ORCL\10-K\0001193125-26-277521.json,
ORCL,8-K,2026-06-10,0001193125-26-265848,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\ORCL\8-K\0001193125-26-265848.json,
ORCL,10-Q,2026-03-11,0001193125-26-101045,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\ORCL\10-Q\0001193125-26-101045.json,
IBM,10-Q,2026-07-23,0000051143-26-000078,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\IBM\10-Q\0000051143-26-000078.json,
IBM,8-K,2026-07-22,0000051143-26-000077,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\IBM\8-K\0000051143-26-000077.json,
IBM,10-K,2026-02-24,0000051143-26-000010,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\IBM\10-K\0000051143-26-000010.json,
JPM,8-K,2026-07-23,0001193125-26-314128,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\JPM\8-K\0001193125-26-314128.json,
JPM,10-Q,2026-05-01,0001628280-26-029344,partial,False,0,5,0.7143,partial,companyfacts_api,False,data\processed\sec_financials_final\JPM\10-Q\0001628280-26-029344.json,
JPM,10-K,2026-02-13,0001628280-26-008131,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\JPM\10-K\0001628280-26-008131.json,
BAC,8-K,2026-07-24,0000070858-26-000364,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\BAC\8-K\0000070858-26-000364.json,
BAC,10-Q,2026-05-01,0000070858-26-000249,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\BAC\10-Q\0000070858-26-000249.json,
BAC,10-K,2026-02-25,0000070858-26-000157,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\BAC\10-K\0000070858-26-000157.json,
GS,8-K,2026-07-27,0001193125-26-318147,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\GS\8-K\0001193125-26-318147.json,
GS,10-Q,2026-05-01,0000886982-26-000118,partial,False,0,5,0.7143,partial,companyfacts_api,False,data\processed\sec_financials_final\GS\10-Q\0000886982-26-000118.json,
GS,10-K,2026-02-25,0000886982-26-000091,partial,False,0,5,0.7143,partial,companyfacts_api,False,data\processed\sec_financials_final\GS\10-K\0000886982-26-000091.json,
C,8-K,2026-07-14,0001104659-26-083383,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\C\8-K\0001104659-26-083383.json,
C,10-Q,2026-05-07,0000831001-26-000019,no_facts,True,6,6,0.8571,partial,companyfacts_plus_inline_xbrl,False,data\processed\sec_financials_final\C\10-Q\0000831001-26-000019.json,
C,10-K,2026-02-20,0000831001-26-000011,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\C\10-K\0000831001-26-000011.json,
V,10-Q,2026-07-29,0001403161-26-000104,no_facts,True,7,7,1.0,complete,companyfacts_plus_inline_xbrl,False,data\processed\sec_financials_final\V\10-Q\0001403161-26-000104.json,
V,8-K,2026-07-28,0001403161-26-000103,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\V\8-K\0001403161-26-000103.json,
V,10-K,2025-11-06,0001403161-25-000089,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\V\10-K\0001403161-25-000089.json,
WMT,8-K,2026-06-05,0000104169-26-000111,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\WMT\8-K\0000104169-26-000111.json,
WMT,10-Q,2026-05-29,0000104169-26-000102,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\WMT\10-Q\0000104169-26-000102.json,
WMT,10-K,2026-03-13,0000104169-26-000055,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\WMT\10-K\0000104169-26-000055.json,
COST,8-K,2026-07-08,0000909832-26-000060,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\COST\8-K\0000909832-26-000060.json,
COST,10-Q,2026-06-03,0000909832-26-000051,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\COST\10-Q\0000909832-26-000051.json,
COST,10-K,2025-10-08,0000909832-25-000101,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\COST\10-K\0000909832-25-000101.json,
HD,10-Q,2026-05-27,0001628280-26-038247,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\HD\10-Q\0001628280-26-038247.json,
HD,8-K,2026-05-26,0000354950-26-000105,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\HD\8-K\0000354950-26-000105.json,
HD,10-K,2026-03-18,0001628280-26-019436,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\HD\10-K\0001628280-26-019436.json,
NKE,10-K,2026-07-15,0000320187-26-000088,partial,False,0,5,0.7143,partial,companyfacts_api,False,data\processed\sec_financials_final\NKE\10-K\0000320187-26-000088.json,
NKE,8-K,2026-06-30,0000320187-26-000076,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\NKE\8-K\0000320187-26-000076.json,
