ticker,company_name,sector,form,source_path,output_path,raw_characters,clean_characters,word_count,reduction_percentage,status,error
AAPL,Apple Inc.,Technology,10-Q,data\raw\sec_filings\AAPL\filings\10-Q\2026-05-01_0000320193-26-000013_aapl-20260328.htm,data\processed\sec_text\AAPL\10-Q\2026-05-01_0000320193-26-000013_aapl-20260328.txt,999810,89760,15427,91.02,success,
AAPL,Apple Inc.,Technology,8-K,data\raw\sec_filings\AAPL\filings\8-K\2026-04-30_0000320193-26-000011_aapl-20260430.htm,data\processed\sec_text\AAPL\8-K\2026-04-30_0000320193-26-000011_aapl-20260430.txt,37639,3654,626,90.29,success,
AAPL,Apple Inc.,Technology,10-K,data\raw\sec_filings\AAPL\filings\10-K\2025-10-31_0000320193-25-000079_aapl-20250927.htm,data\processed\sec_text\AAPL\10-K\2025-10-31_0000320193-25-000079_aapl-20250927.txt,1520208,214375,34457,85.9,success,
MSFT,MICROSOFT CORP,Technology,10-K,data\raw\sec_filings\MSFT\filings\10-K\2026-07-29_0001193125-26-323660_msft-20260630.htm,data\processed\sec_text\MSFT\10-K\2026-07-29_0001193125-26-323660_msft-20260630.txt,8585501,330034,50912,96.16,success,
MSFT,MICROSOFT CORP,Technology,8-K,data\raw\sec_filings\MSFT\filings\8-K\2026-07-29_0001193125-26-323632_msft-20260729.htm,data\processed\sec_text\MSFT\8-K\2026-07-29_0001193125-26-323632_msft-20260729.txt,63346,3331,524,94.74,success,
MSFT,MICROSOFT CORP,Technology,10-Q,data\raw\sec_filings\MSFT\filings\10-Q\2026-04-29_0001193125-26-191507_msft-20260331.htm,data\processed\sec_text\MSFT\10-Q\2026-04-29_0001193125-26-191507_msft-20260331.txt,7731948,211044,33584,97.27,success,
NVDA,NVIDIA CORP,Technology,8-K,data\raw\sec_filings\NVDA\filings\8-K\2026-07-02_0001045810-26-000060_nvda-20260628.htm,data\processed\sec_text\NVDA\8-K\2026-07-02_0001045810-26-000060_nvda-20260628.txt,22172,5381,854,75.73,success,
NVDA,NVIDIA CORP,Technology,10-Q,data\raw\sec_filings\NVDA\filings\10-Q\2026-05-20_0001045810-26-000052_nvda-20260426.htm,data\processed\sec_text\NVDA\10-Q\2026-05-20_0001045810-26-000052_nvda-20260426.txt,1167053,141908,23402,87.84,success,
NVDA,NVIDIA CORP,Technology,10-K,data\raw\sec_filings\NVDA\filings\10-K\2026-02-25_0001045810-26-000021_nvda-20260125.htm,data\processed\sec_text\NVDA\10-K\2026-02-25_0001045810-26-000021_nvda-20260125.txt,1967816,349354,55381,82.25,success,
ORCL,ORACLE CORP,Technology,10-K,data\raw\sec_filings\ORCL\filings\10-K\2026-06-22_0001193125-26-277521_orcl-20260531.htm,data\processed\sec_text\ORCL\10-K\2026-06-22_0001193125-26-277521_orcl-20260531.txt,6873937,424919,65650,93.82,success,
ORCL,ORACLE CORP,Technology,8-K,data\raw\sec_filings\ORCL\filings\8-K\2026-06-10_0001193125-26-265848_orcl-20260610.htm,data\processed\sec_text\ORCL\8-K\2026-06-10_0001193125-26-265848_orcl-20260610.txt,56596,3672,570,93.51,success,
ORCL,ORACLE CORP,Technology,10-Q,data\raw\sec_filings\ORCL\filings\10-Q\2026-03-11_0001193125-26-101045_orcl-20260228.htm,data\processed\sec_text\ORCL\10-Q\2026-03-11_0001193125-26-101045_orcl-20260228.txt,4172832,168956,26912,95.95,success,
IBM,INTERNATIONAL BUSINESS MACHINES CORP,Technology,10-Q,data\raw\sec_filings\IBM\filings\10-Q\2026-07-23_0000051143-26-000078_ibm-20260630.htm,data\processed\sec_text\IBM\10-Q\2026-07-23_0000051143-26-000078_ibm-20260630.txt,3669227,227875,41775,93.79,success,
IBM,INTERNATIONAL BUSINESS MACHINES CORP,Technology,8-K,data\raw\sec_filings\IBM\filings\8-K\2026-07-22_0000051143-26-000077_ibm-20260722.htm,data\processed\sec_text\IBM\8-K\2026-07-22_0000051143-26-000077_ibm-20260722.txt,76289,6166,1112,91.92,success,
IBM,INTERNATIONAL BUSINESS MACHINES CORP,Technology,10-K,data\raw\sec_filings\IBM\filings\10-K\2026-02-24_0000051143-26-000010_ibm-20251231.htm,data\processed\sec_text\IBM\10-K\2026-02-24_0000051143-26-000010_ibm-20251231.txt,1077083,104127,16196,90.33,success,
JPM,JPMORGAN CHASE & CO,Financial Services,8-K,data\raw\sec_filings\JPM\filings\8-K\2026-07-23_0001193125-26-314128_d103985d8k.htm,data\processed\sec_text\JPM\8-K\2026-07-23_0001193125-26-314128_d103985d8k.txt,46384,5501,891,88.14,success,
JPM,JPMORGAN CHASE & CO,Financial Services,10-Q,data\raw\sec_filings\JPM\filings\10-Q\2026-05-01_0001628280-26-029344_jpm-20260331.htm,data\processed\sec_text\JPM\10-Q\2026-05-01_0001628280-26-029344_jpm-20260331.txt,9164610,613279,110542,93.31,success,
JPM,JPMORGAN CHASE & CO,Financial Services,10-K,data\raw\sec_filings\JPM\filings\10-K\2026-02-13_0001628280-26-008131_jpm-20251231.htm,data\processed\sec_text\JPM\10-K\2026-02-13_0001628280-26-008131_jpm-20251231.txt,12927325,1249604,210110,90.33,success,
BAC,BANK OF AMERICA CORP /DE/,Financial Services,8-K,data\raw\sec_filings\BAC\filings\8-K\2026-07-24_0000070858-26-000364_bac-20260723.htm,data\processed\sec_text\BAC\8-K\2026-07-24_0000070858-26-000364_bac-20260723.txt,65975,6268,1032,90.5,success,
BAC,BANK OF AMERICA CORP /DE/,Financial Services,10-Q,data\raw\sec_filings\BAC\filings\10-Q\2026-05-01_0000070858-26-000249_bac-20260331.htm,data\processed\sec_text\BAC\10-Q\2026-05-01_0000070858-26-000249_bac-20260331.txt,9055123,430357,79371,95.25,success,
BAC,BANK OF AMERICA CORP /DE/,Financial Services,10-K,data\raw\sec_filings\BAC\filings\10-K\2026-02-25_0000070858-26-000157_bac-20251231.htm,data\processed\sec_text\BAC\10-K\2026-02-25_0000070858-26-000157_bac-20251231.txt,12819060,934441,159015,92.71,success,
GS,GOLDMAN SACHS GROUP INC,Financial Services,8-K,data\raw\sec_filings\GS\filings\8-K\2026-07-27_0001193125-26-318147_d113214d8k.htm,data\processed\sec_text\GS\8-K\2026-07-27_0001193125-26-318147_d113214d8k.txt,42984,5538,892,87.12,success,
GS,GOLDMAN SACHS GROUP INC,Financial Services,10-Q,data\raw\sec_filings\GS\filings\10-Q\2026-05-01_0000886982-26-000118_gs-20260331.htm,data\processed\sec_text\GS\10-Q\2026-05-01_0000886982-26-000118_gs-20260331.txt,7682247,751358,128019,90.22,success,
GS,GOLDMAN SACHS GROUP INC,Financial Services,10-K,data\raw\sec_filings\GS\filings\10-K\2026-02-25_0000886982-26-000091_gs-20251231.htm,data\processed\sec_text\GS\10-K\2026-02-25_0000886982-26-000091_gs-20251231.txt,9611165,1148651,190902,88.05,success,
C,CITIGROUP INC,Financial Services,8-K,data\raw\sec_filings\C\filings\8-K\2026-07-14_0001104659-26-083383_c-20260714x8k.htm,data\processed\sec_text\C\8-K\2026-07-14_0001104659-26-083383_c-20260714x8k.txt,41558,3626,580,91.27,success,
C,CITIGROUP INC,Financial Services,10-Q,data\raw\sec_filings\C\filings\10-Q\2026-05-07_0000831001-26-000019_c-20260331.htm,data\processed\sec_text\C\10-Q\2026-05-07_0000831001-26-000019_c-20260331.txt,11277844,595274,113825,94.72,success,
C,CITIGROUP INC,Financial Services,10-K,data\raw\sec_filings\C\filings\10-K\2026-02-20_0000831001-26-000011_c-20251231.htm,data\processed\sec_text\C\10-K\2026-02-20_0000831001-26-000011_c-20251231.txt,16150764,1262978,223945,92.18,success,
V,VISA INC.,Financial Services,10-Q,data\raw\sec_filings\V\filings\10-Q\2026-07-29_0001403161-26-000104_v-20260630.htm,data\processed\sec_text\V\10-Q\2026-07-29_0001403161-26-000104_v-20260630.txt,1942665,123355,22519,93.65,success,
V,VISA INC.,Financial Services,8-K,data\raw\sec_filings\V\filings\8-K\2026-07-28_0001403161-26-000103_v-20260728.htm,data\processed\sec_text\V\8-K\2026-07-28_0001403161-26-000103_v-20260728.txt,44385,3861,666,91.3,success,
V,VISA INC.,Financial Services,10-K,data\raw\sec_filings\V\filings\10-K\2025-11-06_0001403161-25-000089_v-20250930.htm,data\processed\sec_text\V\10-K\2025-11-06_0001403161-25-000089_v-20250930.txt,2909461,443911,70908,84.74,success,
WMT,Walmart Inc.,Retail and Consumer,8-K,data\raw\sec_filings\WMT\filings\8-K\2026-06-05_0000104169-26-000111_wmt-20260604.htm,data\processed\sec_text\WMT\8-K\2026-06-05_0000104169-26-000111_wmt-20260604.txt,74901,8744,1433,88.33,success,
WMT,Walmart Inc.,Retail and Consumer,10-Q,data\raw\sec_filings\WMT\filings\10-Q\2026-05-29_0000104169-26-000102_wmt-20260430.htm,data\processed\sec_text\WMT\10-Q\2026-05-29_0000104169-26-000102_wmt-20260430.txt,1154833,122673,20674,89.38,success,
WMT,Walmart Inc.,Retail and Consumer,10-K,data\raw\sec_filings\WMT\filings\10-K\2026-03-13_0000104169-26-000055_wmt-20260131.htm,data\processed\sec_text\WMT\10-K\2026-03-13_0000104169-26-000055_wmt-20260131.txt,2323981,371848,59473,84.0,success,
COST,COSTCO WHOLESALE CORP /NEW,Retail and Consumer,8-K,data\raw\sec_filings\COST\filings\8-K\2026-07-08_0000909832-26-000060_cost-20260707.htm,data\processed\sec_text\COST\8-K\2026-07-08_0000909832-26-000060_cost-20260707.txt,22525,2821,463,87.48,success,
COST,COSTCO WHOLESALE CORP /NEW,Retail and Consumer,10-Q,data\raw\sec_filings\COST\filings\10-Q\2026-06-03_0000909832-26-000051_cost-20260510.htm,data\processed\sec_text\COST\10-Q\2026-06-03_0000909832-26-000051_cost-20260510.txt,897626,82048,14168,90.86,success,
COST,COSTCO WHOLESALE CORP /NEW,Retail and Consumer,10-K,data\raw\sec_filings\COST\filings\10-K\2025-10-08_0000909832-25-000101_cost-20250831.htm,data\processed\sec_text\COST\10-K\2025-10-08_0000909832-25-000101_cost-20250831.txt,1438962,214122,34240,85.12,success,
HD,"HOME DEPOT, INC.",Retail and Consumer,10-Q,data\raw\sec_filings\HD\filings\10-Q\2026-05-27_0001628280-26-038247_hd-20260503.htm,data\processed\sec_text\HD\10-Q\2026-05-27_0001628280-26-038247_hd-20260503.txt,742613,70459,11880,90.51,success,
HD,"HOME DEPOT, INC.",Retail and Consumer,8-K,data\raw\sec_filings\HD\filings\8-K\2026-05-26_0000354950-26-000105_hd-20260521.htm,data\processed\sec_text\HD\8-K\2026-05-26_0000354950-26-000105_hd-20260521.txt,87210,8375,1406,90.4,success,
HD,"HOME DEPOT, INC.",Retail and Consumer,10-K,data\raw\sec_filings\HD\filings\10-K\2026-03-18_0001628280-26-019436_hd-20260201.htm,data\processed\sec_text\HD\10-K\2026-03-18_0001628280-26-019436_hd-20260201.txt,2314728,338484,53957,85.38,success,
NKE,"NIKE, Inc.",Retail and Consumer,10-K,data\raw\sec_filings\NKE\filings\10-K\2026-07-15_0000320187-26-000088_nke-20260531.htm,data\processed\sec_text\NKE\10-K\2026-07-15_0000320187-26-000088_nke-20260531.txt,2824360,386262,63484,86.32,success,
NKE,"NIKE, Inc.",Retail and Consumer,8-K,data\raw\sec_filings\NKE\filings\8-K\2026-06-30_0000320187-26-000076_nke-20260630.htm,data\processed\sec_text\NKE\8-K\2026-06-30_0000320187-26-000076_nke-20260630.txt,26136,2881,460,88.98,success,
NKE,"NIKE, Inc.",Retail and Consumer,10-Q,data\raw\sec_filings\NKE\filings\10-Q\2026-04-01_0000320187-26-000037_nke-20260228.htm,data\processed\sec_text\NKE\10-Q\2026-04-01_0000320187-26-000037_nke-20260228.txt,2369485,155401,29152,93.44,success,
MCD,MCDONALDS CORP,Retail and Consumer,8-K,data\raw\sec_filings\MCD\filings\8-K\2026-05-22_0000063908-26-000055_mcd-20260520.htm,data\processed\sec_text\MCD\8-K\2026-05-22_0000063908-26-000055_mcd-20260520.txt,58088,4903,817,91.56,success,
MCD,MCDONALDS CORP,Retail and Consumer,10-Q,data\raw\sec_filings\MCD\filings\10-Q\2026-05-07_0000063908-26-000051_mcd-20260331.htm,data\processed\sec_text\MCD\10-Q\2026-05-07_0000063908-26-000051_mcd-20260331.txt,1103199,131518,21106,88.08,success,
MCD,MCDONALDS CORP,Retail and Consumer,10-K,data\raw\sec_filings\MCD\filings\10-K\2026-02-24_0000063908-26-000035_mcd-20251231.htm,data\processed\sec_text\MCD\10-K\2026-02-24_0000063908-26-000035_mcd-20251231.txt,2182265,286544,46098,86.87,success,
JNJ,JOHNSON & JOHNSON,Healthcare,8-K,data\raw\sec_filings\JNJ\filings\8-K\2026-07-29_0000200406-26-000163_jnj-20260729.htm,data\processed\sec_text\JNJ\8-K\2026-07-29_0000200406-26-000163_jnj-20260729.txt,70434,9088,1393,87.1,success,
JNJ,JOHNSON & JOHNSON,Healthcare,10-Q,data\raw\sec_filings\JNJ\filings\10-Q\2026-07-23_0000200406-26-000153_jnj-20260628.htm,data\processed\sec_text\JNJ\10-Q\2026-07-23_0000200406-26-000153_jnj-20260628.txt,2746633,181882,32618,93.38,success,
JNJ,JOHNSON & JOHNSON,Healthcare,10-K,data\raw\sec_filings\JNJ\filings\10-K\2026-02-11_0000200406-26-000016_jnj-20251228.htm,data\processed\sec_text\JNJ\10-K\2026-02-11_0000200406-26-000016_jnj-20251228.txt,3701587,438121,71631,88.16,success,
PFE,PFIZER INC,Healthcare,8-K,data\raw\sec_filings\PFE\filings\8-K\2026-06-18_0000078003-26-000087_pfe-20260618.htm,data\processed\sec_text\PFE\8-K\2026-06-18_0000078003-26-000087_pfe-20260618.txt,60347,22355,3276,62.96,success,
PFE,PFIZER INC,Healthcare,10-Q,data\raw\sec_filings\PFE\filings\10-Q\2026-05-05_0000078003-26-000054_pfe-20260329.htm,data\processed\sec_text\PFE\10-Q\2026-05-05_0000078003-26-000054_pfe-20260329.txt,2081412,196264,32143,90.57,success,
PFE,PFIZER INC,Healthcare,10-K,data\raw\sec_filings\PFE\filings\10-K\2026-02-26_0000078003-26-000026_pfe-20251231.htm,data\processed\sec_text\PFE\10-K\2026-02-26_0000078003-26-000026_pfe-20251231.txt,5222324,661439,105747,87.33,success,
UNH,UNITEDHEALTH GROUP INC,Healthcare,8-K,data\raw\sec_filings\UNH\filings\8-K\2026-07-16_0000731766-26-000191_unh-20260716.htm,data\processed\sec_text\UNH\8-K\2026-07-16_0000731766-26-000191_unh-20260716.txt,32866,3529,573,89.26,success,
UNH,UNITEDHEALTH GROUP INC,Healthcare,10-Q,data\raw\sec_filings\UNH\filings\10-Q\2026-05-05_0000731766-26-000127_unh-20260331.htm,data\processed\sec_text\UNH\10-Q\2026-05-05_0000731766-26-000127_unh-20260331.txt,1280827,92761,16322,92.76,success,
UNH,UNITEDHEALTH GROUP INC,Healthcare,10-K,data\raw\sec_filings\UNH\filings\10-K\2026-03-02_0000731766-26-000062_unh-20251231.htm,data\processed\sec_text\UNH\10-K\2026-03-02_0000731766-26-000062_unh-20251231.txt,2870606,345531,55732,87.96,success,
ABT,ABBOTT LABORATORIES,Healthcare,10-Q,data\raw\sec_filings\ABT\filings\10-Q\2026-07-28_0001628280-26-050134_abt-20260630.htm,data\processed\sec_text\ABT\10-Q\2026-07-28_0001628280-26-050134_abt-20260630.txt,1580277,99703,17798,93.69,success,
ABT,ABBOTT LABORATORIES,Healthcare,8-K,data\raw\sec_filings\ABT\filings\8-K\2026-07-16_0001628280-26-048377_abt-20260716.htm,data\processed\sec_text\ABT\8-K\2026-07-16_0001628280-26-048377_abt-20260716.txt,28037,4509,674,83.92,success,
ABT,ABBOTT LABORATORIES,Healthcare,10-K,data\raw\sec_filings\ABT\filings\10-K\2026-02-20_0001628280-26-010185_abt-20251231.htm,data\processed\sec_text\ABT\10-K\2026-02-20_0001628280-26-010185_abt-20251231.txt,2656022,322444,51764,87.86,success,
